id,Organization,Author
60039507,Všeobecná Fakultní Nemocnice v Praze,2
60033125,University of Leicester,1
60029346,UCI Medical Center,1
60025457,Hassan II University of Casablanca,1
60021567,AP-HP Assistance Publique - Hopitaux de Paris,1
60021348,Hasheminejad Kidney Center,1
60017862,North-Western State Medical University named after I.I. Mechnikov,1
60016524,Manipal Academy of Higher Education,1
60016447,Southmead Hospital Bristol,1
60005087,Austin Health,1
60002685,Pavlov University,1
60002194,University of Tennessee Health Science Center,1
60001604,Ministry of Education of the People's Republic of China,1
60000953,Cumming School of Medicine,6
60000945,St. Louis University School of Medicine,1
123396008,Dialysis Unit,1
112812049,Bhumirajanagarindra Kidney Institute,1
105464673,Kidney Foundation Hospital and Research Institute,1
60071360,Vietnam National University of Agriculture,1
60028928,Research Organization of Information and Systems National Institute of Informatics,2
60019619,UniversitatsSpital Zurich,2
60189490,The College of Medicine and Public Health,1
60121260,"Departement Chronische Ziekten, Metabolisme en Veroudering",1
60108183,Applications des Ultrasons à la Thérapie,1
60102305,National Jewish Health,1
60102125,Université de Bordeaux,1
60079887,VA San Diego Healthcare System,1
60040006,Hospital Universitario San Ignacio,1
60028462,Hospital Universitari Germans Trias i Pujol,2
60026952,"Mayo Clinic Scottsdale-Phoenix, Arizona",1
60022886,National Center for Global Health and Medicine,1
60022109,Queen Mary University of London,2
60020828,Flinders University,2
60012736,"Kosin University, College of Medicine",1
60011951,Morsani College of Medicine,1
60011682,Hospital Clínico Universidad De Chile,1
60009761,Ege University Medical School,1
60009149,Instituto Nacional de la Nutrición Salvador Zubiran,1
60007997,Weill Cornell Medicine,2
60000146,Clinica Alemana,1
116061381,Norton Thoracic Institute,1
115544835,Sir H.N. Reliance Foundation Hospital,1
115413879,Klinik Arlesheim,1
60021562,Handelshögskolan i Stockholm,1
60172698,Dại học Nguyen Tat Thanh,1
60117148,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,1
60017482,Jiangsu University,2
60012959,Periyar University,2
60002144,Universidade do Algarve,2
126359528,Adhiyamaan Educational Research Institute,1
60021630,Joint Base Langley-Eustis,1
60015396,Wilford Hall Ambulatory Surgical Center,2
60113885,"Hamad Bin Khalifa University, College of Science and Engineering",1
60104134,Khalifa University of Science and Technology,1
60194928,Mahachulalongkornrajavidyalaya University,2
60071132,Landspitali - The National University Hospital of Iceland,8
60071115,Læknadeild Háskóla Íslands,4
124573322,Oculis ehf,3
114117678,Nucro-Technics,1
60092005,Kindai University,1
60024728,Missouri University of Science and Technology,2
60069706,Jiangsu University of Science and Technology,2
107085226,Nakhonratchasima College,1
60113202,Lindenwood University,1
60091534,Ratchaburi Artificial Insemination and Biotechnology Research Center,1
125429392,Bureau of Biotechnology in Livestock Production,2
60272722,Aomori Prefectural Industrial Technology Research Center,1
60002963,Universitat Salzburg,1
60071753,Papua New Guinea Institute of Medical Research,2
60029003,School of Basic Medical Sciences,2
60012932,"Faculty of Medicine, Nursing and Health Sciences",4
101451525,PATH,1
101259366,UNAIDS,1
60019616,Harbin Institute of Technology,7
60105866,Kerala University of Fisheries and Ocean Studies,1
60024740,International University of Health and Welfare,1
60019330,Cheng Shiu University,1
60021062,Tunghai University,1
60018748,National Chin-Yi University of Technology,2
60162105,Graduate School of Medical Sciences,1
125781648,Sunpasithiprasong Hospital,1
112958814,Khonkaen Hospital,1
126598301,Rail and Modern Transportation Research Center,1
60274109,The Ratio Institute,1
60008141,Örebro Universitet,1
60002392,Karlstads Universitet,2
60000990,Chalmers University of Technology,1
120948045,MaungThai Insurance PCL,1
60091550,Sappasitthiprasong Hospital,1
60013268,Taiyuan University of Technology,2
60101794,Maanmittauslaitos,1
121912446,Tbilisi-State-University-Tbilisi,1
121435133,Bulgaria Academy of Sciences,8
60070224,MSD Animal Health Netherlands,1
129499152,Intervet (Thailand) Ltd.,1
107916246,Faculty of Medicine,1
60007652,Old Dominion University,2
60113676,"Istituto di Geoscienze e Georisorse, Sezione di Firenze",1
60012070,University of Leeds,7
121328595,Allana Potash Corporation,1
